gameid,genres
269650,"['Action', 'Adventure', 'Indie', 'RPG']"
351970,['RPG']
812140,"['Action', 'Adventure', 'RPG']"
252670,"['Adventure', 'Casual', 'Indie']"
496240,"['Action', 'Indie', 'Simulation', 'Strategy']"
689070,"['Adventure', 'Indie', 'RPG']"
1308950,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Sports']"
431730,"['Animation & Modeling', 'Design & Illustration', 'Game Development']"
1238020,"['Action', 'RPG', 'Strategy']"
214870,['Action']
356400,"['Action', 'Indie']"
447290,"['Action', 'Indie']"
220160,"['Action', 'Racing']"
331650,"['Action', 'Indie', 'Racing']"
517630,"['Action', 'Adventure']"
702890,['Action']
622220,['Action']
470740,['Simulation']
989440,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer']"
805940,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']"
243470,"['Action', 'Adventure']"
1066890,"['Action', 'Indie', 'Racing', 'Simulation', 'Sports']"
39680,"['Simulation', 'Strategy']"
230270,['Action']
476700,"['Action', 'Adventure', 'Indie']"
1289380,"['Indie', 'RPG', 'Simulation', 'Strategy']"
906100,"['Adventure', 'Indie']"
345180,[]
552520,"['Action', 'Adventure']"
1206560,"['Indie', 'Simulation', 'Early Access']"
589780,"['Adventure', 'Indie']"
877200,"['Action', 'Casual', 'Indie', 'Simulation']"
851890,"['Action', 'Adventure']"
598780,['Action']
1223500,"['Casual', 'Indie', 'Simulation']"
214590,"['Action', 'Indie']"
1748890,"['Adventure', 'Indie', 'RPG']"
431960,"['Casual', 'Indie', 'Animation & Modeling', 'Design & Illustration', 'Photo Editing', 'Utilities']"
1422540,"['Indie', 'RPG']"
4890,['Strategy']
225260,"['Action', 'Adventure', 'Strategy']"
1148510,"['Casual', 'Indie', 'RPG', 'Simulation']"
399810,"['Adventure', 'RPG']"
575950,"['Action', 'Indie']"
247430,['Action']
998930,"['Action', 'Casual', 'Indie']"
740200,"['Action', 'Adventure', 'Casual', 'Indie']"
1462570,"['Action', 'Adventure', 'Indie']"
315430,"['Action', 'Adventure', 'Indie', 'Strategy']"
318530,"['Action', 'Adventure', 'Indie']"
924140,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation']"
1305420,"['Casual', 'Indie', 'Strategy']"
1063730,"['Action', 'Adventure', 'Massively Multiplayer', 'RPG']"
1197570,"['Action', 'Adventure', 'Simulation', 'Strategy']"
1546570,['RPG']
791180,"['Action', 'Adventure', 'Indie']"
282070,"['Adventure', 'Indie', 'Simulation']"
32450,['Adventure']
680360,"['Action', 'Adventure', 'Indie', 'RPG']"
313120,"['Adventure', 'Indie']"
312780,"['Action', 'Adventure']"
476600,['Action']
462780,"['Action', 'Adventure', 'RPG']"
1306630,"['Action', 'Adventure', 'Indie']"
695920,"['Adventure', 'Casual', 'RPG', 'Simulation', 'Strategy']"
221100,"['Action', 'Adventure', 'Massively Multiplayer']"
704030,"['Casual', 'Indie', 'Simulation']"
1138100,"['Casual', 'Indie', 'Simulation', 'Strategy']"
544550,"['Action', 'Indie', 'Simulation', 'Early Access']"
732430,"['Action', 'Casual', 'Indie', 'Racing', 'Sports']"
1179210,"['Action', 'Casual', 'Indie', 'Simulation']"
441870,"['Casual', 'Indie', 'Racing']"
531930,[]
302710,"['Action', 'Casual', 'Indie', 'Racing']"
1030210,[]
296970,[]
454120,"['Action', 'Massively Multiplayer', 'Simulation', 'Early Access']"
844930,"['Adventure', 'Casual', 'Indie', 'RPG']"
1599340,[]
550320,"['Action', 'Indie', 'Racing', 'Simulation', 'Sports']"
1099410,"['Action', 'Simulation', 'Strategy']"
544610,['Strategy']
281610,['Strategy']
471010,"['Action', 'Adventure', 'Indie', 'RPG']"
255710,"['Simulation', 'Strategy']"
233450,"['Indie', 'Simulation', 'Strategy']"
1394800,"['Casual', 'Indie', 'RPG']"
35700,"['Action', 'Adventure', 'Indie']"
1069690,"['RPG', 'Strategy']"
582160,"['Action', 'Adventure', 'RPG']"
313780,"['Adventure', 'Indie']"
283960,"['Adventure', 'Casual']"
741260,"['Casual', 'Indie', 'Simulation', 'Strategy']"
1121710,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Free To Play']"
279800,"['Adventure', 'Casual']"
33120,"['Action', 'Indie', 'RPG']"
249650,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']"
965300,['Strategy']
860620,"['Action', 'Adventure', 'Indie', 'Simulation']"
211260,"['Action', 'Indie']"
358130,"['Indie', 'RPG', 'Strategy']"
1494190,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']"
507010,"['Action', 'Adventure', 'Indie', 'Simulation']"
213850,['Strategy']
204120,['Adventure']
641780,"['Action', 'Indie', 'Racing', 'Simulation', 'Sports']"
1474200,"['Casual', 'Indie', 'RPG']"
1118240,"['Adventure', 'Indie']"
583950,['Strategy']
386620,"['Action', 'Indie', 'Simulation', 'Strategy']"
382900,[]
1290270,"['Adventure', 'Casual', 'Indie', 'RPG']"
48240,['Strategy']
1282590,['Simulation']
485460,"['Indie', 'RPG', 'Strategy']"
1527950,"['Adventure', 'Indie', 'RPG', 'Strategy']"
224920,"['Action', 'Adventure']"
816340,"['Indie', 'Strategy']"
402180,"['Casual', 'Indie']"
1409730,"['Action', 'Adventure', 'Casual', 'Indie']"
762610,"['Action', 'Indie']"
699170,"['Indie', 'RPG', 'Strategy']"
802870,['Adventure']
622720,"['Indie', 'Simulation', 'Strategy']"
1012790,"['Action', 'Indie']"
1479500,"['Adventure', 'Casual', 'Indie']"
703510,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']"
1359090,"['Action', 'Simulation', 'Strategy']"
1703340,"['Adventure', 'Casual', 'Indie']"
505230,"['Adventure', 'Indie', 'RPG']"
1072150,"['Action', 'Adventure', 'Indie', 'RPG']"
1170760,['Action']
1566410,"['Action', 'Indie']"
1395560,"['Action', 'Indie']"
420000,['Simulation']
496620,"['Action', 'Indie']"
745880,"['Action', 'Indie']"
1598160,['Action']
261030,['Adventure']
431750,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Sports', 'Strategy']"
768520,"['RPG', 'Strategy']"
683900,"['Simulation', 'Strategy']"
366250,['Action']
47780,"['Action', 'Adventure']"
1295500,['Strategy']
555570,"['Action', 'Indie', 'Massively Multiplayer', 'RPG', 'Free To Play']"
755470,"['Action', 'Adventure', 'Indie']"
107200,"['Action', 'Indie', 'RPG', 'Strategy']"
1276790,"['Indie', 'RPG']"
577690,"['Action', 'Adventure', 'Indie']"
253230,"['Adventure', 'Indie']"
291860,"['Action', 'Indie', 'RPG', 'Strategy']"
1213210,['Strategy']
667720,[]
390560,"['Action', 'Casual', 'Free To Play', 'Indie']"
1194680,"['Action', 'Casual', 'Simulation']"
788690,['Adventure']
1000080,"['Action', 'Adventure', 'Indie', 'RPG']"
55230,['Action']
970960,['Strategy']
926140,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']"
209160,['Action']
254700,"['Action', 'Adventure']"
8980,"['Action', 'RPG']"
518150,['Early Access']
1093910,"['Adventure', 'Indie', 'RPG']"
302080,"['Indie', 'Simulation']"
38600,"['Casual', 'Indie', 'RPG']"
895870,"['Action', 'Indie', 'Simulation']"
274920,"['Animation & Modeling', 'Video Production']"
641990,"['Indie', 'Simulation', 'Strategy']"
1432050,"['Action', 'Adventure', 'Indie', 'RPG']"
647960,"['Indie', 'Strategy']"
582500,"['Action', 'Adventure', 'Indie', 'Free To Play']"
926990,"['Action', 'RPG', 'Simulation', 'Early Access']"
464880,"['Indie', 'Strategy']"
1167630,"['Ação', 'Indie', 'Simulação', 'Estratégia']"
347710,"['Adventure', 'Indie']"
404080,"['Adventure', 'Indie']"
444200,"['Action', 'Massively Multiplayer', 'Simulation', 'Strategy', 'Free To Play']"
544920,"['Action', 'Indie', 'Free To Play']"
221380,[]
511470,"['Casual', 'Indie']"
358090,"['Adventure', 'Casual', 'Indie']"
1520370,"['Adventure', 'Casual', 'Indie', 'Racing', 'Simulation', 'Early Access']"
265810,"['Casual', 'Indie', 'Simulation', 'Strategy']"
964800,"['Action', 'Adventure', 'Casual', 'Indie']"
353090,"['Action', 'Casual', 'Indie']"
275390,"['Action', 'Adventure', 'Indie']"
935880,"['Casual', 'Indie']"
1349060,"['Action', 'Indie']"
598060,"['Action', 'Indie', 'RPG']"
403190,"['Indie', 'Simulation', 'Strategy']"
850000,"['Adventure', 'Indie', 'RPG']"
1070710,"['Casual', 'Indie']"
907470,"['Adventure', 'Casual', 'Indie']"
1328890,"['Indie', 'RPG']"
1418100,[]
397740,"['Indie', 'RPG']"
594130,"['Adventure', 'Indie', 'RPG']"
233980,"['Action', 'Indie', 'RPG']"
296570,['RPG']
330070,['Video Production']
375460,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']"
302270,"['Action', 'Indie', 'RPG', 'Strategy']"
451760,"['Casual', 'Indie']"
1543460,"['Adventure', 'Casual', 'Indie']"
266310,"['Animation & Modeling', 'Design & Illustration', 'Education', 'Software Training', 'Utilities', 'Game Development']"
1556200,['Action']
244030,['Simulation']
304050,"['Action', 'Adventure', 'Casual', 'Massively Multiplayer', 'RPG', 'Free To Play']"
38740,"['Action', 'Indie']"
638650,['RPG']
422810,"['Action', 'Indie', 'RPG']"
2310,['Action']
228280,"['Adventure', 'RPG']"
56437,['Strategy']
1146970,"['Casual', 'Indie']"
1222370,"['Action', 'Adventure']"
1444480,"['Simulation', 'Early Access']"
965600,"['Indie', 'Strategy']"
1203710,"['Action', 'Adventure', 'Indie']"
499890,"['Action', 'Indie']"
1249800,"['Action', 'Adventure', 'RPG']"
378360,"['Indie', 'Simulation', 'Strategy', 'Early Access']"
411300,"['Action', 'Adventure', 'RPG']"
1071290,"['Action', 'Adventure', 'Indie', 'RPG']"
215470,"['Action', 'Indie']"
311340,[]
280160,"['Action', 'Adventure', 'Indie']"
73020,['Strategy']
12360,['Racing']
710610,"['Adventure', 'Casual', 'Indie', 'RPG']"
22600,['Strategy']
562410,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']"
585550,"['Action', 'Casual', 'Indie', 'Simulation']"
858820,"['Action', 'Adventure', 'Indie', 'RPG']"
1105510,"['Action', 'Adventure']"
335300,"['Action', 'RPG']"
318310,"['Indie', 'RPG']"
1335830,"['Action', 'Adventure', 'Indie', 'RPG']"
1238860,['Action']
641080,['Racing']
629000,['Adventure']
290890,"['Action', 'Casual', 'Indie', 'RPG', 'Strategy']"
298030,['Strategy']
320320,"['Action', 'RPG']"
10090,['Action']
1211360,"['Action', 'Indie', 'Simulation']"
778150,"['Adventure', 'Casual', 'Indie']"
393420,"['Action', 'Adventure', 'Simulation']"
448280,"['Action', 'Casual', 'Indie', 'Simulation']"
212680,"['Indie', 'Simulation', 'Strategy']"
555880,"['Action', 'Indie', 'RPG', 'Strategy']"
815780,"['Indie', 'Simulation', 'Sports']"
617670,"['Casual', 'Indie']"
581270,"['Adventure', 'Casual', 'Indie']"
916440,"['Simulation', 'Strategy']"
208750,"['Action', 'Adventure', 'Indie', 'RPG']"
562500,"['Indie', 'Strategy']"
355180,"['Action', 'Free To Play']"
1621690,"['Adventure', 'Casual', 'Indie', 'RPG']"
341000,"['Casual', 'Indie', 'Simulation', 'Strategy']"
230290,"['Casual', 'Indie', 'Simulation', 'Early Access']"
599140,"['Adventure', 'Indie', 'RPG', 'Simulation']"
451020,"['Indie', 'RPG']"
915460,"['Action', 'Indie', 'Massively Multiplayer']"
280220,"['Indie', 'Simulation', 'Strategy']"
1260520,"['Casual', 'Indie', 'Strategy']"
1557740,"['Action', 'Indie']"
253750,"['Action', 'Indie']"
285330,"['Simulation', 'Strategy']"
1146310,"['Action', 'Adventure', 'Indie']"
6910,['Action']
46560,['Strategy']
550060,"['Animation & Modeling', 'Design & Illustration', 'Utilities']"
1385730,"['Casual', 'RPG']"
1367300,"['Action', 'Indie']"
290340,"['Adventure', 'Indie', 'RPG', 'Strategy']"
270880,"['Indie', 'Simulation']"
561770,[]
1116230,[]
236430,[]
306040,[]
1228520,[]
421020,[]
823940,[]
705710,"['Action', 'Indie']"
21130,"['Action', 'Adventure']"
337070,['Utilities']
597170,"['Action', 'Indie']"
2390,['Action']
1277940,"['Casual', 'Simulation']"
24010,['Simulation']
668210,"['Action', 'Adventure', 'Casual', 'Indie']"
741670,"['Action', 'Indie', 'Simulation', 'Strategy']"
50130,['Action']
227160,"['Action', 'Indie', 'Simulation']"
1587130,"['Action', 'Indie', 'RPG']"
1123050,"['Action', 'Indie', 'RPG']"
348710,[]
237890,"['Adventure', 'RPG', 'Strategy']"
775580,"['Action', 'Adventure', 'Indie']"
282050,"['Racing', 'Simulation', 'Sports']"
870780,"['Action', 'Adventure']"
1160220,"['Adventure', 'Indie', 'RPG']"
45400,['Indie']
266510,"['Action', 'Indie', 'RPG']"
349510,"['Action', 'Adventure', 'Indie']"
200210,"['Ação', 'Aventura', 'Indie', 'Multijogador Massivo', 'RPG', 'Gratuitos para Jogar']"
836450,['Indie']
35140,"['Action', 'Adventure']"
4700,['Strategy']
1126310,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']"
1787090,['Utilities']
495990,"['Adventure', 'Casual', 'Indie']"
204530,"['Action', 'Indie', 'Strategy']"
1049410,"['Action', 'Adventure']"
207790,['Simulation']
1338770,['Action']
1207650,"['Adventure', 'Indie', 'RPG']"
333950,"['Action', 'Indie', 'Simulation', 'Strategy']"
1095040,"['Adventure', 'Indie', 'RPG']"
1100930,"['Indie', 'RPG', 'Strategy']"
773790,"['Indie', 'Simulation', 'Strategy', 'Early Access']"
763970,['Adventure']
960690,"['Action', 'Adventure', 'Indie', 'Strategy']"
204030,"['Action', 'Adventure', 'RPG']"
440760,"['Action', 'Indie']"
1184770,"['Indie', 'Simulation', 'Strategy', 'Early Access']"
312450,"['Simulation', 'Strategy', 'Free To Play']"
402570,"['Free To Play', 'Strategy']"
446020,"['Adventure', 'Indie', 'Simulation']"
201270,['Strategy']
233550,"['Action', 'Adventure']"
1169740,"['Action', 'Indie']"
1466640,"['Action', 'Adventure', 'Indie']"
1135690,"['Casual', 'Indie', 'Simulation']"
225020,['Action']
214510,"['Action', 'Adventure']"
2700,"['Simulation', 'Strategy']"
1173010,"['Casual', 'Indie']"
24240,['Action']
322680,"['Action', 'Adventure', 'Indie']"
1222140,"['Action', 'Adventure']"
270850,['Simulation']
987840,"['RPG', 'Strategy']"
326460,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Strategy']"
801480,"['Adventure', 'Indie']"
979110,"['Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']"
10130,['Action']
565170,['Action']
1358710,"['Action', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']"
267900,['Action']
275610,['Action']
50620,"['Action', 'Adventure']"
766280,"['Casual', 'Indie']"
226720,['Action']
